id,strain,sire,dam1,dam2,dam3,dam4,sex,generation,dob,litter.size,sevrage,dtc,n.females,n.males,n.sibs,n.cage,cage.id,cage.type,sire.present,multiple.dams,coat.color,d40,d50,d60,bw30,bw40,bw50,bw60,comments.x,age.sev,age.40,age.50,age.60,g1,g2,g3,pwg,dam1.age,dam2.age,dam3.age,dam4.age,dam.age,sac.date,sac.age,time,na,nt,femur,ecw,liver,spleen,kidney,heart,testis,gfp,rfp,mfp,ffp,brain,muscle,X1g_wt,comments.y,tail,tf
7076,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,4,498,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,15.76,14.89,15.96,22.36,=,30,40,50,60,-0.87,1.07,6.4,6.6,91,130,115,=,112,2013-03-13,60,16:43:00,90,175,14.45,8.99,0.924,0.059,0.229,0.093,0.171,0.327,0.059,0.155,0.222,0.39,0.139,=,=,85,0.763
7077,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,4,498,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,16.19,18.62,20.27,22.69,=,30,40,50,60,2.43,1.65,2.42,6.5,91,130,115,=,112,2013-03-13,60,16:59:37,95,178,14.5,9.219,0.894,0.056,0.247,0.098,0.165,0.306,0.049,0.139,0.229,0.401,0.152,=,=,83,0.723
7078,B6.A-X BC1,6685,=,=,=,=,M,BC2,2013-01-12,14,2013-02-11,2013-02-11,7,7,14,4,498,S,1,1,B,2013-02-21,2013-03-03,2013-03-13,14.78,19.91,21.03,22,=,30,40,50,60,5.13,1.12,0.97,7.22,91,130,115,=,112,2013-03-13,60,17:16:15,94,176,14.5,8.702,0.828,0.054,0.242,0.098,0.174,0.216,0.04,0.131,0.213,0.405,0.136,=,=,82,0.6
7079,B6.A-19 BC2,6610,7014,6828,=,=,M,BC2,2013-01-13,14,2013-02-12,2013-02-12,9,5,14,5,499,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.39,18.27,20.13,25.08,=,30,40,50,60,2.88,1.86,4.95,9.69,92,131,=,=,112,2013-03-14,60,12:50:00,94,173,14.75,10.482,1.078,0.064,0.307,0.118,0.168,0.297,0.053,0.141,0.276,0.412,0.136,=,=,79,0.767
7080,B6.A-19 BC2,6610,7014,6828,=,=,M,BC2,2013-01-13,14,2013-02-12,2013-02-12,9,5,14,5,499,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.72,20.14,22.75,21.69,=,30,40,50,60,4.42,2.61,-1.06,5.97,92,131,=,=,112,2013-03-14,60,13:07:00,91,172,14,8.795,0.991,0.06,0.224,0.097,0.174,0.437,0.091,0.231,0.342,0.41,0.153,=,=,81,1.101
7081,B6.A-19 BC2,6610,7014,6828,=,=,M,BC2,2013-01-13,14,2013-02-12,2013-02-12,9,5,14,5,499,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,16.08,18.13,19.84,23.58,=,30,40,50,60,2.05,1.71,3.74,7.5,92,131,=,=,112,2013-03-14,60,13:22:30,91,176,14.5,9.557,0.962,0.071,0.244,0.096,0.179,0.353,0.058,0.164,0.262,0.401,0.16,=,=,85,0.837
7082,B6.A-19 BC2,6610,7014,6828,=,=,M,BC2,2013-01-13,14,2013-02-12,2013-02-12,9,5,14,5,499,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,17.53,18.9,22.23,23.82,=,30,40,50,60,1.37,3.33,1.59,6.29,92,131,=,=,112,2013-03-14,60,13:38:30,93,178,14.65,9.648,1.003,0.057,0.273,0.104,0.188,0.408,0.073,0.182,0.301,0.415,0.125,=,=,85,0.964
7083,B6.A-19 BC2,6610,7014,6828,=,=,M,BC2,2013-01-13,14,2013-02-12,2013-02-12,9,5,14,5,499,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,16.59,20.33,21.7,21.82,=,30,40,50,60,3.74,1.37,0.12,5.23,92,131,=,=,112,2013-03-14,60,13:53:00,90,174,14,8.77,0.905,0.082,0.229,0.095,0.184,0.389,0.079,0.15,0.269,0.395,0.143,=,=,84,0.887
7090,B6.C,6644,=,=,=,=,M,4,2013-01-13,12,2013-02-12,2013-02-12,6,6,12,6,501,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.97,15.63,17.85,22.54,=,30,40,50,60,-0.34,2.22,4.69,6.57,92,169,132,=,131,2013-03-14,60,14:11:00,89,175,=,8.974,0.922,0.063,0.246,0.094,0.162,0.297,=,0.145,0.263,0.393,0.152,=,=,86,=
7091,B6.C,6644,=,=,=,=,M,4,2013-01-13,12,2013-02-12,2013-02-12,6,6,12,6,501,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.49,18.35,20.81,22.19,=,30,40,50,60,2.86,2.46,1.38,6.7,92,169,132,=,131,2013-03-14,60,14:30:00,91,175,14.15,8.669,0.996,0.063,0.226,0.1,0.155,0.301,0.052,0.172,0.278,0.377,0.15,=,=,84,0.803
7092,B6.C,6644,=,=,=,=,M,4,2013-01-13,12,2013-02-12,2013-02-12,6,6,12,6,501,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.18,18.24,20.16,23.63,=,30,40,50,60,3.06,1.92,3.47,8.45,92,169,132,=,131,2013-03-14,60,14:45:00,93,176,14.6,9.547,0.989,0.07,0.234,0.109,0.164,0.309,0.061,0.172,0.285,0.387,0.153,=,=,83,0.827
7093,B6.C,6644,=,=,=,=,M,4,2013-01-13,12,2013-02-12,2013-02-12,6,6,12,6,501,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,16.03,19.46,22.17,23.79,=,30,40,50,60,3.43,2.71,1.62,7.76,92,169,132,=,131,2013-03-14,60,15:02:00,93,176,14.55,10.145,0.97,0.059,0.268,0.107,0.179,0.39,0.072,0.174,0.34,=,0.131,=,=,83,0.976
7094,B6.C,6644,=,=,=,=,M,4,2013-01-13,12,2013-02-12,2013-02-12,6,6,12,6,501,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,15.6,20.16,21.85,22.56,=,30,40,50,60,4.56,1.69,0.71,6.96,92,169,132,=,131,2013-03-14,60,15:17:00,93,174,14.54,9.028,0.936,0.055,0.23,0.103,0.159,0.328,0.059,0.154,0.292,0.404,0.124,=,=,81,0.833
7105,B6.C,6645,7016,6830,=,=,M,4,2013-01-13,16,2013-02-12,2013-02-12,6,10,16,5,504,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,13.99,18.51,22.24,24.59,=,30,40,50,60,4.52,3.73,2.35,10.6,92,131,=,=,112,2013-03-14,60,15:33:00,95,179,14.65,9.78,1.072,0.082,0.277,0.109,0.168,0.21,0.028,0.121,0.173,0.386,0.142,=,=,84,0.532
7106,B6.C,6645,7016,6830,=,=,M,4,2013-01-13,16,2013-02-12,2013-02-12,6,10,16,5,504,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,14.77,18.66,21.56,23.76,=,30,40,50,60,3.89,2.9,2.2,8.99,92,131,=,=,112,2013-03-14,60,15:05:00,94,174,14.65,10.016,0.989,0.085,0.256,0.107,0.162,0.231,0.034,0.105,0.195,0.393,0.178,=,=,80,0.565
7107,B6.C,6645,7016,6830,=,=,M,4,2013-01-13,16,2013-02-12,2013-02-12,6,10,16,5,504,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,12.72,16.24,19.09,21.35,=,30,40,50,60,3.52,2.85,2.26,8.63,92,131,=,=,112,2013-03-14,60,16:05:00,90,170,14,8.509,0.86,0.061,0.208,0.09,0.149,0.234,0.038,0.147,0.23,0.372,0.138,=,=,80,0.649
7108,B6.C,6645,7016,6830,=,=,M,4,2013-01-13,16,2013-02-12,2013-02-12,6,10,16,5,504,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,14.28,19.01,21.99,23.55,=,30,40,50,60,4.73,2.98,1.56,9.27,92,131,=,=,112,2013-03-14,60,16:21:00,93,178,14.65,9.874,0.953,0.067,0.262,0.105,0.163,0.212,0.028,0.119,0.193,0.395,0.157,=,=,85,0.552
7109,B6.C,6645,7016,6830,=,=,M,4,2013-01-13,16,2013-02-12,2013-02-12,6,10,16,5,504,S,1,1,B,2013-02-22,2013-03-04,2013-03-14,12.85,17.52,20.54,22.33,=,30,40,50,60,4.67,3.02,1.79,9.48,92,131,=,=,112,2013-03-14,60,16:37:00,93,179,14.45,9.003,0.923,0.061,0.236,0.093,0.151,0.233,0.035,0.084,0.207,0.385,0.154,=,=,86,0.559
7147,B6.A-X BC1,6682,6824,6777,=,=,M,BC1,2013-01-19,3,2013-02-18,2013-02-18,2,1,3,4,513,S,1,1,B,2013-02-28,2013-03-10,2013-03-20,17.5,20.73,23.34,24.91,d60+1,30,40,50,60,3.23,2.61,1.57,7.41,137,175,=,=,156,2013-03-21,61,14:47:00,93,173,14.85,10.15,1.188,0.08,0.268,0.11,0.168,0.281,0.062,0.178,0.26,0.405,0.159,=,=,80,0.781
7148,B6.A-19 BC2,6628,6843,=,=,=,M,BC2,2013-01-20,5,2013-02-19,2013-02-19,2,3,5,4,513,S,1,1,B,2013-03-01,2013-03-11,2013-03-21,19.18,19.18,22.18,23.95,=,30,40,50,60,0,3,1.77,4.77,126,=,=,=,126,2013-03-21,60,15:02:00,93,173,14.45,9.695,1.004,0.078,0.236,0.103,0.179,0.272,0.057,0.155,0.261,0.397,0.161,=,=,80,0.745
7149,B6.A-19 BC2,6628,6843,=,=,=,M,BC2,2013-01-20,5,2013-02-19,2013-02-19,2,3,5,4,513,S,1,1,B,2013-03-01,2013-03-11,2013-03-21,20.36,20.36,22.95,24.21,=,30,40,50,60,0,2.59,1.26,3.85,126,=,=,=,126,2013-03-21,60,15:18:00,92,174,14.6,10.193,1.064,0.062,0.264,0.113,0.184,0.29,0.053,0.179,0.277,0.397,0.16,=,=,82,0.799
7150,B6.A-19 BC2,6628,6843,=,=,=,M,BC2,2013-01-20,5,2013-02-19,2013-02-19,2,3,5,4,513,S,1,1,B,2013-03-01,2013-03-11,2013-03-21,20.09,20.09,22.91,25.32,=,30,40,50,60,0,2.82,2.41,5.23,126,=,=,=,126,2013-03-21,60,15:38:00,95,174,=,10.678,1.105,0.078,0.269,0.115,0.183,0.247,0.042,0.177,0.218,0.402,0.169,=,L,79,0.684
7151,B6.A-15 BC2,6765,6825,6779,=,=,M,BC2,2013-01-20,5,2013-02-20,2013-02-20,3,2,5,2,514,S,1,1,B,2013-03-01,2013-03-11,2013-03-21,14.68,18.82,20.88,22.79,in w/ litter dob = 29/1; selected by weight,31,40,50,60,4.14,2.06,1.91,8.11,138,176,=,=,157,2013-03-21,60,15:53:00,92,172,14.35,9.2,0.984,0.061,0.24,0.101,0.168,0.287,0.045,0.142,0.222,0.403,0.153,=,=,80,0.696
7152,B6.A-15 BC2,6765,6825,6779,=,=,M,BC2,2013-01-20,5,2013-02-20,2013-02-20,3,2,5,2,514,S,1,1,B,2013-03-01,2013-03-11,2013-03-21,15.85,19.83,22.03,23.96,=,31,40,50,60,3.98,2.2,1.93,8.11,138,176,=,=,157,2013-03-21,60,16:08:00,93,176,14.6,9.359,1.056,0.062,0.272,0.106,0.176,0.331,0.067,0.202,0.292,0.398,0.147,=,=,83,0.892
7153,B6.A-X BC1,6682,6824,6777,=,=,M,BC1,2013-01-25,6,2013-02-24,2013-02-24,4,2,6,5,515,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,15.09,19.36,22.44,24,=,30,40,50,60,4.27,3.08,1.56,8.91,143,181,=,=,162,2013-03-26,60,14:47:00,93,175,=,9.884,1.031,0.063,0.267,0.122,0.168,0.252,0.052,0.153,0.255,0.393,0.173,=,L,82,0.712
7154,B6.A-X BC1,6682,6824,6777,=,=,M,BC1,2013-01-25,6,2013-02-24,2013-02-24,4,2,6,5,515,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,14.4,19.32,23.69,24.61,=,30,40,50,60,4.92,4.37,0.92,10.21,143,181,=,=,162,2013-03-26,60,15:05:00,94,174,14.6,10.296,1.037,0.065,0.263,0.112,0.154,0.256,0.048,0.148,0.26,0.389,0.156,=,=,80,0.712
7155,B6.A-X BC1,6677,6844,=,=,=,M,BC1,2013-01-25,8,2013-02-24,2013-02-24,3,5,8,5,515,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,13,18.65,22.61,24.49,=,30,40,50,60,5.65,3.96,1.88,11.49,131,=,=,=,131,2013-03-26,60,15:19:00,92,173,14.55,9.941,1.011,0.064,0.26,0.11,0.181,0.342,0.064,0.188,0.303,0.393,0.161,=,=,81,0.897
7156,B6.A-X BC1,6677,6844,=,=,=,M,BC1,2013-01-25,8,2013-02-24,2013-02-24,3,5,8,5,515,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,13.57,19,22.77,24.21,=,30,40,50,60,5.43,3.77,1.44,10.64,131,=,=,=,131,2013-03-26,60,15:35:30,94,174,14.75,10.115,1.041,0.087,0.252,0.119,0.186,0.37,0.056,0.16,0.256,0.42,0.158,=,=,80,0.842
7157,B6.A-X BC1,6677,6844,=,=,=,M,BC1,2013-01-25,8,2013-02-24,2013-02-24,3,5,8,5,515,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,3.13,17.8,21.4,23.4,=,30,40,50,60,14.67,3.6,2,20.27,131,=,=,=,131,2013-03-26,60,15:52:00,94,171,14.4,9.472,0.989,0.068,0.261,0.093,0.174,0.29,0.064,0.19,0.244,0.395,0.126,=,=,77,0.788
7158,B6.A-X BC1,6677,6844,=,=,=,M,BC1,2013-01-25,8,2013-02-24,2013-02-24,3,5,8,5,516,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,14.31,18.41,21.14,22.73,=,30,40,50,60,4.1,2.73,1.59,8.42,131,=,=,=,131,2013-03-26,60,16:08:00,96,174,14.65,9.64,0.933,0.064,0.243,0.108,0.166,0.219,0.03,0.119,0.214,0.4,0.156,=,=,78,0.582
7159,B6.A-X BC1,6677,6844,=,=,=,M,BC1,2013-01-25,8,2013-02-24,2013-02-24,3,5,8,5,516,S,1,1,B,2013-03-06,2013-03-16,2013-03-26,13.76,19.23,22.48,24.1,=,30,40,50,60,5.47,3.25,1.62,10.34,131,=,=,=,131,2013-03-26,60,16:25:00,94,174,14.6,10.221,0.976,0.065,0.256,0.117,0.171,0.274,0.042,0.144,0.225,0.387,0.159,=,=,80,0.685
7171,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-01-30,6,2013-03-01,2013-03-01,3,3,6,4,519,S,1,1,B,2013-03-11,2013-03-21,2013-03-31,14.75,19.62,22.69,25.51,=,30,40,50,60,4.87,3.07,2.82,10.76,133,=,=,=,133,2013-04-01,61,15:55:00,94,176,14.7,10.695,1.16,0.073,0.259,0.105,0.166,0.27,0.049,0.164,0.254,0.395,0.16,=,=,82,0.737
7172,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-01-30,6,2013-03-01,2013-03-01,3,3,6,4,519,S,1,1,B,2013-03-11,2013-03-21,2013-03-31,14.23,20.31,22.99,24.35,=,30,40,50,60,6.08,2.68,1.36,10.12,133,=,=,=,133,2013-04-01,61,16:10:00,94,173,14.55,10.95,1.048,0.065,0.249,0.1,0.152,0.291,0.058,0.176,0.25,0.406,0.144,=,=,79,0.775
7173,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-01-30,6,2013-03-01,2013-03-01,3,3,6,4,519,S,1,1,B,2013-03-11,2013-03-21,2013-03-31,14.25,18.77,20.44,23.63,=,30,40,50,60,4.52,1.67,3.19,9.38,133,=,=,=,133,2013-04-01,61,16:19:00,92,174,14.25,9.929,1.047,0.076,0.254,0.104,0.177,0.218,0.045,0.161,0.227,0.406,0.176,=,=,82,0.651
7174,B6.A-17 BC2,6588,6812,=,=,=,M,BC2,2013-01-31,10,2013-03-01,2013-03-01,7,3,10,3,520,S,1,1,B,2013-03-12,2013-03-22,2013-04-01,11.69,17.74,20.25,21.1,d30-1; dam died at 24d,29,40,50,60,6.05,2.51,0.85,9.41,167,=,=,=,167,2013-04-03,62,14:18:00,92,171,14.2,9.055,0.841,0.096,0.268,0.115,0.157,0.292,0.081,0.214,0.336,0.424,0.134,=,=,79,0.923
7175,B6.A-17 BC2,6588,6812,=,=,=,M,BC2,2013-01-31,10,2013-03-01,2013-03-01,7,3,10,3,520,S,1,1,B,2013-03-12,2013-03-22,2013-04-01,12.37,18.86,21.14,21.35,=,29,40,50,60,6.49,2.28,0.21,8.98,167,=,=,=,167,2013-04-03,62,14:33:00,91,169,14.5,9.159,1.057,0.061,0.238,0.105,0.168,0.28,0.057,0.207,0.307,0.38,0.131,=,=,78,0.851
7176,B6.A-17 BC2,6588,6812,=,=,=,M,BC2,2013-01-31,10,2013-03-01,2013-03-01,7,3,10,3,520,S,1,1,B,2013-03-12,2013-03-22,2013-04-01,14.19,20.19,22.47,23.04,=,29,40,50,60,6,2.28,0.57,8.85,167,=,=,=,167,2013-04-03,62,14:52:00,92,168,14.35,9.643,1.041,0.062,0.252,0.111,0.174,0.34,0.072,0.233,0.327,0.414,0.163,=,=,76,0.972
7177,B6.A-15 BC2,6818,6846,=,=,=,M,BC2,2013-02-02,3,2013-03-04,2013-03-04,2,1,3,5,521,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,15.71,21.51,24.4,25.19,d50+4,30,40,50,60,5.8,2.89,0.79,9.48,152,=,=,=,152,2013-04-03,60,15:08:00,93,170,14.7,10.466,1.088,0.088,0.287,0.114,0.161,0.206,0.037,0.147,0.195,0.394,0.154,=,=,77,0.585
